PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Castellón,ES_12038,12038,Castellfort,2.8020,187.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,12.5990,16.8800,0,0.0000,aislado,12
Barcelona,ES_08119,8119,Masquefa,562.8300,9819.0000,11,11,0.0200,0.5450,6,11.2030,3,15,14,37,0.7420,15.3330,1,0.0910,directo,8
Castellón,ES_12057,12057,Eslida,41.7630,757.0000,3,3,0.0720,0.6670,2,39.6300,3,5,3,10,0.8240,14.1350,0,0.0000,directo,12
Castellón,ES_12058,12058,Espadilla,7.5130,90.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,9.7270,16.3730,0,0.0000,aislado,12
Islas Baleares,ES_07003,7003,Alcúdia,362.3480,21725.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,16.6100,17.8640,0,0.0000,aislado,7
Barcelona,ES_08121,8121,Mataró,5803.0480,129613.0000,336,336,0.0580,0.0740,25,25.9230,46,383,367,637,0.1370,11.6500,0,0.0000,directo,8
Barcelona,ES_08122,8122,Mediona,54.7650,2629.0000,6,6,0.1100,0.0000,0,22.8220,0,12,10,35,2.2470,14.6700,0,0.0000,directo,8
Soria,ES_42216,42216,Vizmanos,1.3170,32.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,26.0620,0.0000,0,0.0000,aislado,42
Toledo,ES_45070,45070,Guadamur,47.6150,1806.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,2,9.5900,14.7650,0,0.0000,periferico,45
Toledo,ES_45080,45080,Illán de Vacas,0.3280,3.0000,0,0,0.0000,0.0000,0,0.0000,0,1,0,3,4.4750,12.6810,0,0.0000,periferico,45
Toledo,ES_45091,45091,Maqueda,6.7340,496.0000,2,2,0.2970,0.0000,0,40.3230,0,2,2,32,2.0360,12.5970,0,0.0000,directo,45
Toledo,ES_45101,45101,Miguel Esteban,51.0780,4750.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,49.0540,0.0000,0,0.0000,aislado,45
Toledo,ES_45112,45112,"Navalmorales, Los",20.7310,2175.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,1,12.4370,12.4370,0,0.0000,periferico,45
Toledo,ES_45123,45123,Ontígola,119.5680,4926.0000,6,6,0.0500,0.1670,1,12.1800,0,6,6,200,4.1410,9.5480,0,0.0000,directo,45
Toledo,ES_45134,45134,Portillo de Toledo,115.7390,2308.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,5,5.1130,16.1630,0,0.0000,periferico,45
